epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.68843,1.93945,3.31928,1.76765,0.00546,0.72512,0.25214,0.10275,1.79852,3.10179,1.51194,0.00038341,0.00038341,0.00038341
2,11.1094,1.73309,2.4512,1.54233,0.96693,0.04805,0.1952,0.0723,1.86194,3.16552,1.7228,0.000752464,0.000752464,0.000752464
3,15.4313,1.77736,2.25898,1.59661,0.78796,0.20499,0.27549,0.11791,1.89362,2.65406,1.64635,0.00108983,0.00108983,0.00108983
4,19.5846,1.75304,2.06249,1.5558,0.38966,0.27759,0.24678,0.10414,2.05522,2.72288,1.85972,0.00139551,0.00139551,0.00139551
5,23.64,1.72589,2.0627,1.56472,0.31814,0.34543,0.23552,0.09962,1.98188,2.70095,1.84734,0.00140295,0.00140295,0.00140295
6,27.6588,1.71705,2.01139,1.55955,0.29606,0.43386,0.26967,0.10259,2.08504,2.37337,1.8957,0.00133693,0.00133693,0.00133693
7,31.5604,1.64957,1.84225,1.55925,0.5978,0.47542,0.53693,0.21177,2.02048,1.92866,1.82524,0.00127092,0.00127092,0.00127092
8,35.7246,1.73746,1.80777,1.56742,0.64015,0.41131,0.4899,0.20265,1.98284,2.00219,1.73865,0.00120491,0.00120491,0.00120491
9,39.9068,1.6536,1.66569,1.47763,0.5642,0.61737,0.58035,0.23848,1.85321,1.64036,1.64057,0.00113889,0.00113889,0.00113889
10,44.0231,1.6016,1.65102,1.49456,0.62596,0.55619,0.6007,0.2646,1.88578,1.60948,1.75801,0.00107288,0.00107288,0.00107288
11,48.233,1.64417,1.66973,1.52683,0.5712,0.55441,0.57125,0.23429,1.92247,1.62579,1.74244,0.00100687,0.00100687,0.00100687
12,52.4166,1.65214,1.61031,1.49102,0.61512,0.56372,0.65293,0.28495,1.9033,1.59024,1.69301,0.000940855,0.000940855,0.000940855
13,56.5354,1.57305,1.47026,1.45813,0.63398,0.65415,0.67532,0.30743,1.90402,1.38685,1.69343,0.000874842,0.000874842,0.000874842
14,60.5884,1.61886,1.43912,1.50581,0.67054,0.62786,0.67867,0.29041,1.88638,1.42641,1.6427,0.000808828,0.000808828,0.000808828
15,64.6002,1.60733,1.41968,1.46519,0.69565,0.62232,0.65449,0.29526,1.81315,1.40286,1.61929,0.000742815,0.000742815,0.000742815
16,88.2824,1.57697,1.50096,1.47664,0.71259,0.63859,0.70361,0.32057,1.82365,1.30671,1.64224,0.000676802,0.000676802,0.000676802
17,92.1858,1.50577,1.31899,1.45769,0.73169,0.67234,0.7161,0.32391,1.81689,1.30112,1.63671,0.000610789,0.000610789,0.000610789
18,96.0482,1.49496,1.25915,1.43869,0.70187,0.65873,0.7126,0.33189,1.83333,1.24113,1.62272,0.000544776,0.000544776,0.000544776
19,99.9806,1.46501,1.2105,1.41691,0.71933,0.73998,0.73185,0.34259,1.82567,1.17289,1.5982,0.000478762,0.000478762,0.000478762
20,103.99,1.46805,1.19546,1.43999,0.75063,0.7076,0.76172,0.36039,1.79729,1.1759,1.62289,0.000412749,0.000412749,0.000412749
21,107.919,1.41684,1.09665,1.38173,0.76535,0.67753,0.75717,0.34551,1.89529,1.1279,1.66399,0.000346736,0.000346736,0.000346736
22,111.911,1.41529,1.11454,1.40879,0.73466,0.73072,0.75803,0.36556,1.82475,1.12889,1.59898,0.000280723,0.000280723,0.000280723
23,116.014,1.39797,1.05326,1.3927,0.79408,0.67418,0.76288,0.36369,1.82788,1.09642,1.5855,0.00021471,0.00021471,0.00021471
24,119.981,1.37482,1.03162,1.33625,0.76092,0.72774,0.76901,0.36506,1.80751,1.0637,1.5829,0.000148696,0.000148696,0.000148696
25,123.94,1.36035,0.98932,1.31369,0.77428,0.72343,0.78477,0.37962,1.78641,1.04091,1.56611,8.26832e-05,8.26832e-05,8.26832e-05
